lugar,cod_lugar,semana,ine,momo_obs,momo_esp,oficiales_covid,X,De.momento.está.solo.a.nivel.nacional..No.descarto.que.pueda.haber.un.filtro.por.CCAA.o.que.se.muestren.todos.a.la.vez.como.minigráficos..Pero.de.momento.para.las.pruebas.creo.que.así.vale.
España,nacional,6,9403,8770,"9006,75",NA,NA,NA
España,nacional,7,8987,8383,"8926,75",1,NA,NA
España,nacional,8,8510,7944,8643,0,NA,NA
España,nacional,9,8001,7962,"8451,75",0,NA,NA
España,nacional,10,8655,8092,"8350,5",24,NA,NA
España,nacional,11,9287,9002,"8162,5",445,NA,NA
España,nacional,12,12678,12124,"8027,25",2386,NA,NA
España,nacional,13,19222,18457,"7891,75",5586,NA,NA
España,nacional,14,20658,19159,"7763,25",5762,NA,NA
España,nacional,15,17231,15879,"7647,5",4715,NA,NA
España,nacional,16,13133,12339,"7514,5",3551,NA,NA
España,nacional,17,10344,9828,7330,2370,NA,NA
España,nacional,18,8835,8518,"7278,75",1541,NA,NA
España,nacional,19,8594,8004,"7266,25",1061,NA,NA
España,nacional,20,7588,7133,7192,606,NA,NA
España,nacional,21,7662,7276,7135,446,NA,NA
España,nacional,22,7224,7226,7062,332,NA,NA
España,nacional,23,7215,6752,7060,236,NA,NA
España,nacional,24,6949,6498,6958,147,NA,NA
España,nacional,25,7165,6680,"6977,5",111,NA,NA
España,nacional,26,7644,7117,"7049,5",60,NA,NA
España,nacional,27,7749,7241,"7188,75",41,NA,NA
España,nacional,28,7852,7329,"7159,75",21,NA,NA
España,nacional,29,7715,7193,7060,16,NA,NA
España,nacional,30,7925,7394,6998,28,NA,NA
España,nacional,31,8626,8065,6957,59,NA,NA
España,nacional,32,8529,7947,"7006,5",116,NA,NA
España,nacional,33,8286,7737,"6886,75",171,NA,NA
España,nacional,34,7992,7486,6770,264,NA,NA
España,nacional,35,8050,7517,"6805,25",329,NA,NA
España,nacional,36,7892,7363,"6681,5",445,NA,NA
España,nacional,37,8165,7616,"6641,25",607,NA,NA
España,nacional,38,8316,7755,"6627,75",738,NA,NA
España,nacional,39,8269,7692,"6763,5",789,NA,NA
España,nacional,40,8298,7747,"6865,5",832,NA,NA
España,nacional,41,8753,8159,6988,842,NA,NA
España,nacional,42,8678,8232,"7042,75",832,NA,NA
España,nacional,43,9374,9138,"7116,25",1065,NA,NA
