fecha,dif_contagios,dif_contagios_media,contagios
24/02/2020,NA,NA,3
25/02/2020,7,NA,10
26/02/2020,6,NA,16
27/02/2020,16,NA,32
28/02/2020,12,NA,44
29/02/2020,22,NA,66
01/03/2020,48,NA,114
02/03/2020,21,19,135
03/03/2020,63,27,198
04/03/2020,39,32,237
05/03/2020,128,48,365
06/03/2020,65,55,430
07/03/2020,159,75,589
08/03/2020,410,126,999
09/03/2020,623,212,1622
10/03/2020,506,276,2128
11/03/2020,822,388,2950
12/03/2020,1259,549,4209
13/03/2020,1544,760,5753
14/03/2020,2000,1023,7753
15/03/2020,1438,1170,9191
16/03/2020,1987,1365,11178
17/03/2020,2538,1655,13716
18/03/2020,3431,2028,17147
19/03/2020,2833,2253,19980
20/03/2020,4946,2739,24926
21/03/2020,3646,2974,28572
22/03/2020,4517,3414,33089
23/03/2020,6584,4071,39673
24/03/2020,7937,4842,47610
25/03/2020,8578,5577,56188
26/03/2020,7871,6297,64059
27/03/2020,8189,6760,72248
28/03/2020,6549,7175,78797
29/03/2020,6398,7444,85195
30/03/2020,9222,7821,94417
31/03/2020,7719,7789,102136
01/04/2020,8102,7721,110238
02/04/2020,7472,7664,117710
03/04/2020,7026,7498,124736
04/04/2020,6023,7423,130759
05/04/2020,4273,7120,135032
06/04/2020,5478,6585,140510
07/04/2020,6180,6365,146690
08/04/2020,5756,6030,152446
09/04/2020,4576,5616,157022
10/04/2020,4830,5302,161852
11/04/2020,4167,5037,166019
12/04/2020,3477,4923,169496
13/04/2020,3045,4576,172541
14/04/2020,5092,4420,177633
15/04/2020,5183,4339,182816
16/04/2020,5252,4435,188068
17/04/2020,4852,4438,192920
18/04/2020,0,3843,188578
19/04/2020,2585,3716,191163
20/04/2020,3352,3759,194515
21/04/2020,2627,3407,197142
22/04/2020,3052,3103,200194
23/04/2020,2767,2748,202961
24/04/2020,2944,2475,205905
25/04/2020,1729,2722,207634
26/04/2020,1831,2615,209465
27/04/2020,1308,2323,210773
28/04/2020,2144,2254,212917
29/04/2020,518,1892,213435
30/04/2020,1781,1751,215216
01/05/2020,1366,1525,216582
02/05/2020,884,1405,217466
03/05/2020,545,1221,218011
04/05/2020,1318,1222,219329
05/05/2020,996,1058,220325
06/05/2020,1122,1145,221447
07/05/2020,1410,1092,222857
08/05/2020,721,999,223578
09/05/2020,812,989,224390
10/05/2020,3046,1346,227436
11/05/2020,594,1243,228030
12/05/2020,661,1195,228691
13/05/2020,849,1156,229540
14/05/2020,643,1047,230183
15/05/2020,515,1017,230698
16/05/2020,652,994,231350
17/05/2020,256,596,231606
18/05/2020,431,572,232037
19/05/2020,518,552,232555
20/05/2020,482,500,233037
21/05/2020,1787,663,234824
22/05/2020,466,656,235290
23/05/2020,482,632,235772
24/05/2020,0,595,235400
25/05/2020,859,656,236259
26/05/2020,510,655,236769
27/05/2020,1137,749,237906
28/05/2020,658,587,238564
29/05/2020,664,616,239228
30/05/2020,201,576,239429
31/05/2020,209,605,239638
01/06/2020,294,525,239932
02/06/2020,394,508,240326
03/06/2020,334,393,240660
04/06/2020,318,345,240978
05/06/2020,332,297,241310
06/06/2020,240,303,241550
07/06/2020,167,297,241717
08/06/2020,249,291,241966
09/06/2020,314,279,242280
10/06/2020,427,292,242707
11/06/2020,502,319,243209
12/06/2020,396,328,243605
13/06/2020,323,340,243928
14/06/2020,181,342,244109
15/06/2020,219,337,244328
16/06/2020,355,343,244683
17/06/2020,585,366,245268
18/06/2020,307,338,245575
19/06/2020,363,333,245938
20/06/2020,334,335,246272
21/06/2020,232,342,246504
22/06/2020,248,346,246752
23/06/2020,334,343,247086
24/06/2020,400,317,247486
25/06/2020,419,333,247905
26/06/2020,564,362,248469
27/06/2020,301,357,248770
28/06/2020,200,352,248970
29/06/2020,301,360,249271
30/06/2020,388,368,249659
01/07/2020,444,374,250103
02/07/2020,442,377,250545
03/07/2020,0,297,NA
04/07/2020,0,254,NA
05/07/2020,1244,403,251789
06/07/2020,341,408,252130
07/07/2020,383,408,252513
08/07/2020,543,422,253056
09/07/2020,852,480,253908
10/07/2020,0,480,NA
11/07/2020,0,480,NA
12/07/2020,2045,595,255953
13/07/2020,666,641,256619
14/07/2020,875,712,257494
15/07/2020,1361,828,258855
16/07/2020,1400,907,260255
17/07/2020,0,907,NA
18/07/2020,0,907,NA
19/07/2020,4581,1269,264836
20/07/2020,1358,1368,266194
21/07/2020,1357,1437,267551
22/07/2020,2615,1616,270166
23/07/2020,2255,1738,272421
24/07/2020,0,1738,NA
25/07/2020,0,1738,NA
26/07/2020,6361,1992,278782
27/07/2020,1828,2059,280610
28/07/2020,2031,2156,282641
29/07/2020,2789,2181,285430
30/07/2020,3092,2300,288522
31/07/2020,0,2300,NA
01/08/2020,0,2300,NA
02/08/2020,8532,2610,297054
03/08/2020,5760,3172,302814
04/08/2020,2953,3304,305767
05/08/2020,4088,3489,309855
06/08/2020,4507,3691,314362
07/08/2020,0,3691,NA
08/08/2020,0,3691,NA
09/08/2020,8618,3704,322980
10/08/2020,3632,3400,326612
11/08/2020,3172,3431,329784
12/08/2020,7550,3926,337334
13/08/2020,5479,4064,342813
14/08/2020,0,4064,NA
15/08/2020,0,4064,NA
16/08/2020,16269,5157,359082
17/08/2020,5114,5369,364196
18/08/2020,6671,5869,370867
19/08/2020,7039,5796,377906
20/08/2020,8148,6177,386054
21/08/2020,0,6177,NA
22/08/2020,0,6177,NA
23/08/2020,19382,6622,405436
24/08/2020,7117,6908,412553
25/08/2020,7296,6997,419849
26/08/2020,9658,7372,429507
27/08/2020,9779,7605,439286
28/08/2020,0,7605,NA
29/08/2020,0,7605,NA
30/08/2020,23572,8203,462858
31/08/2020,8115,8346,470973
01/09/2020,8581,8529,479554
02/09/2020,8959,8429,488513
03/09/2020,10476,8529,498989
04/09/2020,0,8529,NA
05/09/2020,0,8529,NA
06/09/2020,26560,8956,525549
07/09/2020,8964,9077,534513
08/09/2020,8866,9118,543379
09/09/2020,10764,9376,554143
10/09/2020,12183,9620,566326
11/09/2020,0,9620,NA
12/09/2020,0,9620,NA
13/09/2020,27404,9740,593730
14/09/2020,9437,9808,603167
15/09/2020,11193,10140,614360
16/09/2020,11291,10215,625651
17/09/2020,14389,10531,640040
18/09/2020,0,10531,NA
19/09/2020,0,10531,NA
20/09/2020,31428,11105,671468
21/09/2020,10799,11300,682267
22/09/2020,11289,11314,693556
23/09/2020,10653,11223,704209
24/09/2020,12272,10920,716481
25/09/2020,0,10920,NA
26/09/2020,0,10920,NA
27/09/2020,31785,10971,748266
28/09/2020,9906,10844,758172
29/09/2020,11016,10805,769188
30/09/2020,9419,10628,778607
01/10/2020,11325,10493,789932
02/10/2020,0,10493,NA
03/10/2020,0,10493,NA
04/10/2020,23480,9307,813412
05/10/2020,11998,9605,825410
06/10/2020,10491,9530,835901
07/10/2020,12423,9960,848324
08/10/2020,12788,10169,861112
09/10/2020,0,10169,NA
10/10/2020,0,10169,NA
11/10/2020,27856,10794,888968
12/10/2020,7118,10097,896086
13/10/2020,11970,10308,908056
14/10/2020,13318,10436,921374
15/10/2020,15186,10778,936560
16/10/2020,0,10778,NA
17/10/2020,0,10778,NA
18/10/2020,37889,12212,974449
19/10/2020,13873,13177,988322
20/10/2020,16973,13891,1005295
21/10/2020,20986,14987,1026281
22/10/2020,19851,15653,1046132
23/10/2020,0,15653,NA
24/10/2020,0,15653,NA
25/10/2020,52188,17696,1098320
26/10/2020,18418,18345,1116738
27/10/2020,19765,18744,1136503
28/10/2020,23580,19115,1160083
29/10/2020,25595,19935,1185678
30/10/2020,0,19935,NA
31/10/2020,0,19935,NA
01/11/2020,55019,20340,1240697
02/11/2020,18669,20375,1259366
03/11/2020,25042,21129,1284408
04/11/2020,21908,20890,1306316
05/11/2020,22516,20451,1328832
06/11/2020,0,20451,NA
07/11/2020,0,20451,NA
08/11/2020,52386,20074,1381218
