Fecha,Contagios_7dias,Fallecimientos,Fallecimientos_diarios,Fallecimientos_7dias,dif_contagios,dif_fallecimientos,hospitalizaciones_tabla4,suma_semanal_hospitalizaciones,dif_hospitalizaciones_tabla4
30/08/2020,47264,29094,#REF!,141,#REF!,#REF!,750,NA,NA
31/08/2020,49399,29152,58,159,4.52,12.8,888,NA,NA
01/09/2020,47423,29194,42,177,-4.00,11.3,1007,NA,NA
02/09/2020,46371,29234,40,191,-2.22,7.9,1067,NA,NA
03/09/2020,46867,29418,184,256,1.07,34.0,1070,NA,NA
04/09/2020,NA,NA,,NA,,,NA,NA,NA
05/09/2020,NA,NA,,NA,,,NA,NA,NA
06/09/2020,49716,29516,98,237,6.08,-7.4,824,4856,NA
07/09/2020,52138,29594,78,261,4.87,10.1,955,4923,1.38
08/09/2020,50952,29628,34,246,-2.27,-5.7,1107,5023,2.03
09/09/2020,51419,29699,71,249,0.92,1.2,1141,5097,1.47
10/09/2020,53158,29747,48,241,3.38,-3.2,1124,5151,1.06
11/09/2020,NA,NA,,NA,,,NA,NA,NA
12/09/2020,NA,NA,,NA,,,NA,NA,NA
13/09/2020,54995,29848,101,207,3.46,-14.1,908,5235,1.63
14/09/2020,57314,30004,156,303,4.22,46.4,1229,5509,5.23
15/09/2020,57240,30243,239,366,-0.13,20.8,1315,5717,3.78
16/09/2020,56785,30405,162,419,-0.79,14.5,1317,5893,3.08
17/09/2020,58347,30495,90,432,2.75,3.1,1299,6068,2.97
18/09/2020,NA,NA,,NA,,,NA,NA,NA
19/09/2020,NA,NA,,NA,,,NA,NA,NA
20/09/2020,61748,30663,168,311,5.83,-28.0,1052,6212,2.37
21/09/2020,64272,30904,241,468,4.09,50.5,1261,6244,0.52
22/09/2020,61695,31034,130,517,-4.01,10.5,1362,6291,0.75
23/09/2020,58622,31118,84,500,-4.98,-3.3,1310,6284,-0.11
24/09/2020,57119,31232,114,475,-2.56,-5.0,1358,6343,0.94
25/09/2020,NA,NA,,NA,,,NA,NA,NA
26/09/2020,NA,NA,,NA,,,NA,NA,NA
27/09/2020,58361,31411,179,359,2.17,-24.4,955,6246,-1.53
28/09/2020,60178,31614,203,443,3.11,23.4,1209,6194,-0.83
29/09/2020,56509,31791,177,486,-6.10,9.7,1241,6073,-1.95
30/09/2020,53288,31973,182,547,-5.70,12.6,1280,6043,-0.49
01/10/2020,52029,32086,113,538,-2.36,-1.6,1193,5878,-2.73
02/10/2020,NA,NA,,NA,,,NA,NA,NA
03/10/2020,NA,NA,,NA,,,NA,NA,NA
04/10/2020,49118,32225,139,366,-5.59,-31.97,891,5814,-1.09
05/10/2020,55470,32486,261,484,12.93,32.24,1162,5767,-0.81
06/10/2020,52727,32562,76,445,-4.95,-8.06,1299,5825,1.01
07/10/2020,54049,32688,126,421,2.51,-5.39,1262,5807,-0.31
08/10/2020,57247,32929,241,541,5.92,28.50,1303,5917,1.89
09/10/2020,NA,NA,,NA,,,NA,NA,NA
10/10/2020,NA,NA,,NA,,,NA,NA,NA
11/10/2020,62324,33124,195,447,8.87,-17.38,1322,6348,7.28
12/10/2020,60647,33204,80,406,-2.69,-9.17,1149,6335,-0.2
13/10/2020,60577,33413,209,486,-0.12,19.70,1422,6458,1.94
14/10/2020,61388,33553,140,494,1.34,1.65,1473,6669,3.27
15/10/2020,62791,33775,222,575,2.29,16.40,1473,6839,2.55
16/10/2020,NA,NA,,NA,,,NA,NA,NA
17/10/2020,NA,NA,,NA,,,NA,NA,NA
18/10/2020,71754,33992,217,459,14.27,-20.17,1336,6853,0.2
19/10/2020,79555,34210,218,553,10.87,20.48,1742,7446,8.65
20/10/2020,83825,34366,156,575,5.37,3.98,1860,7884,5.88
21/10/2020,87556,34521,155,570,4.45,-0.87,1907,8318,5.5
22/10/2020,89872,34752,231,655,2.65,14.91,2024,8869,6.62
23/10/2020,NA,NA,,NA,,,NA,NA,NA
24/10/2020,NA,NA,,NA,,,NA,NA,NA
25/10/2020,104322,35031,279,628,16.08,-4.12,1158,8691,-2.01
26/10/2020,107374,35298,267,746,2.93,18.79,2101,9050,4.13
27/10/2020,106783,35466,168,761,-0.55,2.01,2292,9482,4.77
28/10/2020,108326,35639,173,790,1.44,3.81,2349,9924,4.66
29/10/2020,110052,35878,239,857,1.59,8.48,2296,10196,2.74
30/10/2020,NA,NA,,NA,,,NA,NA,NA
31/10/2020,NA,NA,,NA,,,NA,NA,NA
1/11/2020,114648,36257,379,777,4.18,-9.33,2002,11040,8.28
2/11/2020,114025,36495,238,832,-0.54,7.08,2137,11076,0.33
3/11/2020,110988,38118,1623,888,-2.66,6.73,2481,11265,1.71
4/11/2020,109570,38486,368,1002,-1.28,12.84,2421,11337,0.64
5/11/2020,108518,38833,347,1088,-0.96,8.58,2244,11285,-0.46
6/11/2020,NA,NA,,NA,,,NA,NA,NA
7/11/2020,NA,NA,,NA,,,NA,NA,NA
8/11/2020,109934,39345,512,1054,1.30,-3.13,1757,11040,-2.17
9/11/2020,112011,39756,411,1209,1.89,14.71,2270,11173,1.2
